Country,Port,Latitude,Longitude,2014_Containers,2015_Containers,2016_Containers,2017_Containers,2018_Containers,Containers_2014-2018
South Korea,Kwangyang,34.937,127.686,20.0,2.0,0.0,1.0,0.0,23.0
South Korea,Masan,35.208,128.572,1.0,1.0,1.0,1.0,1.0,5.0
South Korea,Pohang Hang,36.029529,129.377164,1.0,1.0,1.0,1.0,1.0,5.0
South Korea,Pyungtaek,36.992194,127.085368,1.0,0.0,1.0,1.0,0.0,3.0
South Korea,Ulsan,35.537,129.316,1.0,1.0,1.0,1.0,1.0,5.0
Spain,Algeciras,36.1275,-5.4539,12191.0,10518.0,9337.0,10187.0,4207.0,46440.0
Spain,Barcelona,41.3825,2.1769,2940.0,3276.0,3820.0,3799.0,1656.0,15491.0
Spain,Bilbao,43.2622,-2.9533,48.0,150.0,157.0,78.0,34.0,467.0
Spain,Malaga,36.7205,-4.4125,3.0,2.0,17.0,45.0,25.0,92.0
Spain,Sagunto,39.6764,-0.2733,5.0,4.0,1.0,0.0,0.0,10.0
Spain,Santander,43.4667,-3.8,1.0,1.0,1.0,1.0,1.0,5.0
Spain,Tarragona,41.1187,1.2453,1298.0,419.0,405.0,372.0,1.0,2495.0
Spain,Valencia,39.4667,-0.375,3844.0,8981.0,9503.0,11754.0,8070.0,42152.0
Spain,Vigo,42.2333,-8.7167,15.0,60.0,95.0,65.0,40.0,275.0
Spain,Vinaroz,40.468581,0.476894,1.0,1.0,2.0,1.0,1.0,6.0
Sri Lanka,Colombo Harbor,6.931,79.847,19585.0,18653.0,19591.0,22270.0,11521.0,91620.0
St. Lucia,Vieux Fort,13.7833,-60.9667,409.0,0.0,0.0,0.0,0.0,409.0
Sweden,Gothenburg,57.7069,11.9667,11.0,38.0,42.0,18.0,19.0,128.0
Sweden,Helsingborg,56.05,12.7,4.0,10.0,2.0,26.0,9.0,51.0
Sweden,Stockholm,59.3294,18.0686,7.0,4.0,24.0,0.0,0.0,35.0
Thailand,Bangkok,13.75,100.516,40.0,41.0,41.0,17.0,9.0,148.0
Thailand,Laem Chabang,13.101852,100.913264,5040.0,8537.0,11397.0,13816.0,5819.0,44609.0
Thailand,Sattahip,12.666,100.9,256.0,480.0,503.0,162.0,109.0,1510.0
Thailand,Songkhla Harbor,7.198,100.595,1.0,6.0,93.0,65.0,13.0,178.0
Togo,Lome,6.137,1.212,2.0,27.0,1.0,0.0,3.0,33.0
Trinidad,Point Fortin,10.184,-61.682,1.0,1.0,1.0,1.0,1.0,5.0
Trinidad,Point Lisas,10.407756,-61.492524,761.0,2439.0,230.0,24.0,6.0,3460.0
Trinidad,Port of Spain,10.6667,-61.5167,2044.0,127.0,108.0,38.0,36.0,2353.0
Turkey,Attalea,36.9,30.6833,1.0,2.0,3.0,3.0,2.0,11.0
Turkey,Derindje,40.75,29.8,9.0,1.0,0.0,2.0,0.0,12.0
Turkey,Istanbul,41.157,28.8096,1695.0,1069.0,1027.0,913.0,265.0,4969.0
Turkey,Izmir,38.4333,27.15,737.0,476.0,445.0,1217.0,124.0,2999.0
Turkey,Kemlik,39.976376,32.58355,2217.0,1491.0,854.0,1297.0,469.0,6328.0
Turkey,Mersin,36.8,34.6167,1543.0,654.0,714.0,2361.0,1684.0,6956.0
Turkey,Nemrut Bay,38.744047,26.833553,1282.0,1088.0,864.0,2071.0,2038.0,7343.0
Turkey,Panderma,40.353513,27.968994,1.0,1.0,1.0,1.0,0.0,4.0
Turkey,Pursan,0.0,0.0,2.0,13.0,4.0,22.0,0.0,41.0
Turkey,Tutunciftlik,40.761787,29.747608,705.0,379.0,548.0,639.0,295.0,2566.0
Turkey,Yarimca,40.764625,29.752081,1.0,1.0,1.0,2.0,1.0,6.0
Turkey,Zonguldak,41.45,31.7833,144.0,74.0,31.0,1000.0,215.0,1464.0
Ukraine,Yuzhnyy,46.622,31.101,3.0,16.0,2.0,2.0,0.0,23.0
United Arab Emirates,Jebel Ali,24.987985,55.022581,2054.0,5264.0,7004.0,5816.0,1859.0,21997.0
United Arab Emirates,Khor Fakkan,25.353408,56.358728,333.0,348.0,68.0,1.0,11.0,761.0
United Arab Emirates,Zirku Island,24.87975,53.072591,8.0,6.0,0.0,0.0,0.0,14.0
United Kingdom,Belfast,54.597,-5.9301,8.0,6.0,4.0,2.0,0.0,20.0
United Kingdom,Felixstowe,51.9639,1.3515,970.0,353.0,872.0,1844.0,754.0,4793.0
United Kingdom,Grangemouth,56.0161,-3.7232,1.0,0.0,1.0,0.0,0.0,2.0
United Kingdom,Hull,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
United Kingdom,Immingham,53.616,-0.2135,2.0,2.0,2.0,0.0,0.0,6.0
United Kingdom,Kingsnorth,51.1185,0.8599,1.0,0.0,0.0,0.0,0.0,1.0
United Kingdom,Liverpool,53.4055,-2.9805,2.0,2.0,5.0,24.0,7.0,40.0
